stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,actuator_characterization_baseline,0,4,3,593,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.053598,-1,-3.141593,-0.087995,-0.060814,-46.780121,299374997.703021,299374997.703021,566.496482,573.277910,0.999968,0.999967,3.203299,3.282975,1,1,0,nan,nan,nan,nan,41.941695,6.674700,41.831651,6.656421,edge estimates disagree,1176.313841,-875.353116,2051.666957,
skew,actuator_characterization_baseline,0,4,4,594,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.058351,-1,-3.141593,-0.083242,-0.057529,-44.253358,299374997.703021,299374997.703021,557.866607,577.738982,0.999947,0.999955,4.081047,3.887649,1,1,0,nan,nan,nan,nan,39.704875,6.303135,40.430594,6.423687,edge estimates disagree,335.771144,-329.162129,664.933273,
skew,actuator_characterization_baseline,0,4,5,595,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.034730,-1,-3.141593,-0.106862,-0.073854,-56.810640,299374997.703021,299374997.703021,572.671659,568.914180,0.999969,0.999968,3.192875,3.212113,1,1,0,nan,nan,nan,nan,42.064176,6.695046,41.954818,6.676880,skew outside supported linear range,456.513996,-885.966013,1342.480009,
skew,actuator_characterization_baseline,0,4,6,596,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059983,-1,-3.141593,-0.081609,-0.056401,-43.385527,299374997.703021,299374997.703021,558.950969,577.112332,0.999945,0.999957,4.129894,3.801854,1,1,0,nan,nan,nan,nan,39.618396,6.288770,40.614999,6.454319,edge estimates disagree,36.487931,-52.288072,88.776003,
skew,actuator_characterization_baseline,0,4,7,597,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059668,-1,-3.141593,-0.081924,-0.056619,-43.553003,299374997.703021,299374997.703021,559.419886,576.776781,0.999959,0.999962,3.576156,3.544086,1,1,0,nan,nan,nan,nan,40.876130,6.497696,41.219770,6.554779,skew outside supported linear range,687.911068,-393.254397,1081.165465,
skew,actuator_characterization_baseline,0,4,8,598,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059634,-1,-3.141593,-0.081959,-0.056643,-43.571373,299374997.703021,299374997.703021,561.488399,576.056994,0.999920,0.999924,5.010968,5.022667,1,1,0,nan,nan,nan,nan,37.978082,6.016293,38.180322,6.049887,corrected tone and dither skew estimates disagree,64.405362,67.031486,2.626124,
skew,actuator_characterization_baseline,0,4,9,599,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.035472,-1,-3.141593,-0.106121,-0.073341,-56.416465,299374997.703021,299374997.703021,572.813986,569.006471,0.999936,0.999938,4.583440,4.495437,1,1,0,nan,nan,nan,nan,38.926141,6.173778,39.036605,6.192127,edge estimates disagree,17.378497,-104.011799,121.390296,
skew,actuator_characterization_baseline,0,4,10,600,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059266,-1,-3.141593,-0.082327,-0.056897,-43.766779,299374997.703021,299374997.703021,559.053277,576.767751,0.999866,0.999872,6.464973,6.530840,1,1,0,nan,nan,nan,nan,35.727429,5.642430,35.910339,5.672814,edge estimates disagree,30.051940,-240.616314,270.668254,
skew,actuator_characterization_repeat,0,5,1,601,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.074508,-1,-3.141593,-0.067084,-0.046363,-35.663655,299374997.703021,299374997.703021,561.902053,577.517299,0.999967,0.999970,3.219792,3.185985,1,1,0,nan,nan,nan,nan,41.826357,6.655541,42.156125,6.710320,skew outside supported linear range,-213.686165,-264.799546,51.113381,
skew,actuator_characterization_repeat,0,5,2,602,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.073195,-1,-3.141593,-0.068398,-0.047270,-36.361849,299374997.703021,299374997.703021,559.655270,578.267081,0.999967,0.999966,3.202246,3.367877,1,1,0,nan,nan,nan,nan,41.839018,6.657644,41.685144,6.632084,corrected tone and dither skew estimates disagree,-108.455524,-119.143049,10.687525,
skew,actuator_characterization_repeat,0,5,3,603,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.073448,-1,-3.141593,-0.068145,-0.047096,-36.227384,299374997.703021,299374997.703021,559.579912,578.094153,0.999931,0.999935,4.643635,4.673931,1,1,0,nan,nan,nan,nan,38.609780,6.121226,38.836026,6.158808,edge estimates disagree,52.235470,-244.642792,296.878262,
skew,actuator_characterization_repeat,0,5,4,604,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.073407,-1,-3.141593,-0.068185,-0.047124,-36.248972,299374997.703021,299374997.703021,562.919730,577.319424,0.999940,0.999950,4.363236,4.082193,1,1,0,nan,nan,nan,nan,39.202455,6.219677,40.000152,6.352185,skew outside supported linear range,603.921906,-139.633542,743.555448,
skew,actuator_characterization_repeat,0,5,5,605,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.047918,-1,-3.141593,-0.093674,-0.064739,-49.799459,299374997.703021,299374997.703021,574.596414,570.894935,0.999955,0.999955,3.864672,3.815806,1,1,0,nan,nan,nan,nan,40.434705,6.424370,40.489097,6.433405,skew outside supported linear range,592.195595,-70.329685,662.525280,
skew,actuator_characterization_repeat,0,5,6,606,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.072215,-1,-3.141593,-0.069378,-0.047948,-36.882981,299374997.703021,299374997.703021,558.776447,578.350603,0.999969,0.999974,3.129538,2.955237,1,1,0,nan,nan,nan,nan,42.024857,6.688514,42.821678,6.820877,edge estimates disagree,1731.864199,-1402.656472,3134.520671,
skew,actuator_characterization_repeat,0,5,7,607,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.049957,-1,-3.141593,-0.091636,-0.063331,-48.715889,299374997.703021,299374997.703021,574.126677,571.211047,0.999968,0.999971,3.250643,3.097976,1,1,0,nan,nan,nan,nan,41.930470,6.672835,42.304070,6.734895,edge estimates disagree,-653.651961,336.024680,989.676641,
skew,actuator_characterization_repeat,0,5,8,608,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.053508,-1,-3.141593,-0.088085,-0.060876,-46.827939,299374997.703021,299374997.703021,573.013564,572.004556,0.999969,0.999971,3.183750,3.084073,1,1,0,nan,nan,nan,nan,42.094218,6.700036,42.355197,6.743388,edge estimates disagree,144.619469,-478.351817,622.971287,
skew,actuator_characterization_repeat,0,5,9,609,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.070388,-1,-3.141593,-0.071205,-0.049210,-37.854095,299374997.703021,299374997.703021,566.912699,575.776936,0.999966,0.999972,3.313746,3.042568,1,1,0,nan,nan,nan,nan,41.653639,6.626850,42.529978,6.772422,edge estimates disagree,823.704177,-369.957841,1193.662018,
skew,actuator_characterization_repeat,0,5,10,610,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.071059,-1,-3.141593,-0.070534,-0.048747,-37.497495,299374997.703021,299374997.703021,566.503643,575.864144,0.999970,0.999968,3.091466,3.246267,1,1,0,nan,nan,nan,nan,42.250464,6.725991,41.968415,6.679139,edge estimates disagree,-339.573563,450.042045,789.615607,
skew,actuator_characterization_baseline,0,6,1,611,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.035523,-1,-3.141593,-0.106069,-0.073306,-56.389018,299374997.703021,299374997.703021,572.434766,569.055492,0.999957,0.999963,3.731764,3.441185,1,1,0,nan,nan,nan,nan,40.705937,6.469425,41.358633,6.577846,corrected tone and dither skew estimates disagree,116.532851,124.881266,8.348415,
skew,actuator_characterization_baseline,0,6,2,612,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.054891,-1,-3.141593,-0.086702,-0.059921,-46.092725,299374997.703021,299374997.703021,566.108915,573.926383,0.999966,0.999968,3.285103,3.232430,1,1,0,nan,nan,nan,nan,41.716720,6.637329,41.976242,6.680439,edge estimates disagree,263.421053,-69.776286,333.197339,
skew,actuator_characterization_baseline,0,6,3,613,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.057714,-1,-3.141593,-0.083878,-0.057969,-44.591771,299374997.703021,299374997.703021,564.485636,574.489485,0.999960,0.999962,3.574312,3.543948,1,1,0,nan,nan,nan,nan,40.958908,6.511447,41.185595,6.549102,edge estimates disagree,97.424234,-412.836794,510.261028,
skew,actuator_characterization_baseline,0,6,4,614,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.035859,-1,-3.141593,-0.105734,-0.073074,-56.210769,299374997.703021,299374997.703021,572.648777,569.314352,0.999967,0.999971,3.273788,3.082534,1,1,0,nan,nan,nan,nan,41.846457,6.658880,42.318585,6.737306,edge estimates disagree,2268.012815,-1137.933619,3405.946434,
skew,actuator_characterization_baseline,0,6,5,615,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.057138,-1,-3.141593,-0.084455,-0.058368,-44.898159,299374997.703021,299374997.703021,556.400715,577.929203,0.999966,0.999961,3.229424,3.600890,1,1,0,nan,nan,nan,nan,41.714952,6.637035,41.098996,6.534717,edge estimates disagree,1303.168555,-1125.776291,2428.944846,
skew,actuator_characterization_baseline,0,6,6,616,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.034987,-1,-3.141593,-0.106606,-0.073677,-56.674260,299374997.703021,299374997.703021,572.838616,568.995347,0.999971,0.999970,3.101152,3.105212,1,1,0,nan,nan,nan,nan,42.319884,6.737522,42.250050,6.725922,skew outside supported linear range,-75.959209,-446.392279,370.433070,
