stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,21,31,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999173,-13.437500,-13.456797,17.900528,389.716776,371.553674,1,33.604527,32.855019,5.289788,-51.259392,199875000.000000,21125000.000000,33.162457,32.360844,5.216355,-51.305256,199875000.000000,19500000.000000,33.567833,32.510769,5.283693,-54.352451,199875000.000000,19500000.000000,1,0.980318,77.760986,-13.789897,4.443731,0.952855,-0.047145,-0.196829,-151.406977
baseline,baseline,0,1,22,32,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998497,2.258750,2.261410,2.751406,387.582500,368.389220,1,33.662968,32.641872,5.299496,-52.626869,199875000.000000,22750000.000000,33.605595,32.730328,5.289966,-52.749165,199875000.000000,22750000.000000,33.817120,32.658413,5.325103,-55.617542,199875000.000000,22750000.000000,1,0.976738,83.881714,-13.078771,5.012816,0.950469,-0.049531,-0.196829,-151.406977
baseline,baseline,0,1,23,33,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998589,-6.010000,-5.994431,10.121025,390.720674,372.987300,1,33.579620,32.971050,5.285651,-51.404377,199875000.000000,22750000.000000,33.786522,32.820881,5.320021,-51.284569,199875000.000000,22750000.000000,33.895813,32.878330,5.338175,-56.647511,199875000.000000,22750000.000000,1,0.981821,75.037689,-14.132639,4.126594,0.954374,-0.045626,-0.196829,-151.406977
baseline,baseline,0,1,24,34,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998611,2.952500,2.950872,2.039156,385.226569,365.723854,1,33.573814,32.669796,5.284687,-51.485477,199875000.000000,24375000.000000,33.292854,32.057907,5.238016,-52.821014,199875000.000000,24375000.000000,33.588711,32.315220,5.287161,-54.406433,199875000.000000,24375000.000000,1,0.973869,88.133957,-12.591490,4.990027,0.949386,-0.050614,-0.196829,-151.406977
baseline,baseline,0,1,25,35,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998614,-4.360000,-4.374854,8.913390,390.568818,373.617166,1,34.033905,33.062511,5.361114,-52.119473,199875000.000000,22750000.000000,33.244026,32.334938,5.229905,-52.312004,199875000.000000,22750000.000000,33.811298,32.665707,5.324136,-54.862213,199875000.000000,22750000.000000,1,0.983062,72.473022,-14.440525,4.538536,0.956385,-0.043615,-0.196829,-151.406977
baseline,baseline,0,1,26,36,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998547,-3.708750,-3.715763,7.716471,389.830723,371.649607,1,33.291279,32.397423,5.237754,-51.910931,199875000.000000,24375000.000000,33.311924,32.360237,5.241183,-51.590893,199875000.000000,24375000.000000,33.470417,32.343601,5.267511,-54.851669,199875000.000000,24375000.000000,1,0.980521,77.405838,-13.838476,4.000709,0.953199,-0.046801,-0.196829,-151.406977
baseline,baseline,0,1,27,37,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998581,-12.751250,-12.779334,16.824580,391.015687,373.751296,1,33.372028,32.562267,5.251167,-50.660980,199875000.000000,19500000.000000,32.954758,32.198631,5.181853,-51.488495,199875000.000000,19500000.000000,33.319389,32.357681,5.242424,-53.515785,199875000.000000,19500000.000000,1,0.983043,72.587959,-14.428273,4.045247,0.955389,-0.044611,-0.196829,-151.406977
baseline,baseline,0,1,28,38,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998567,-4.107500,-4.122575,10.077897,383.610991,364.212147,1,33.269215,32.528683,5.234089,-53.615044,199875000.000000,19500000.000000,32.681519,31.841921,5.136465,-50.823788,199875000.000000,19500000.000000,33.095284,32.142662,5.205196,-55.577675,199875000.000000,19500000.000000,1,0.972443,90.074051,-12.364465,5.955321,0.949122,-0.050878,-0.196829,-151.406977
baseline,baseline,0,1,29,39,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998850,-9.447500,-9.449088,14.884087,384.379566,364.807833,1,33.196243,32.302711,5.221967,-53.608532,199875000.000000,19500000.000000,33.117764,31.901850,5.208931,-51.953369,199875000.000000,19500000.000000,33.264660,32.047939,5.233332,-54.778530,199875000.000000,19500000.000000,1,0.972625,89.937050,-12.390590,5.434999,0.948579,-0.051421,-0.196829,-151.406977
baseline,baseline,0,1,30,40,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998669,-4.010000,-3.988601,9.203664,387.925508,368.594349,1,33.169556,32.839516,5.217534,-51.416618,199875000.000000,19500000.000000,32.838009,31.706461,5.162460,-51.822285,199875000.000000,19500000.000000,33.161854,32.240807,5.216255,-55.535503,199875000.000000,19500000.000000,1,0.977171,83.250305,-13.149399,5.215064,0.949922,-0.050078,-0.196829,-151.406977
