stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,21,31,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999703,9.740000,-3.729187,9.734808,386.085167,401.180856,1,41.663826,44.530151,6.628543,-50.666676,299000000.000000,19500000.000000,41.959351,45.338425,6.677633,-52.198093,299000000.000000,21125000.000000,43.350780,45.064922,6.908768,-53.481289,299000000.000000,19500000.000000,1,0.996470,36.796856,-20.585690,-6.005621,1.038842,0.038842,-0.073633,-56.640992
baseline,baseline,0,1,22,32,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.997984,10.111250,-7.150158,10.116364,374.200223,374.322965,1,41.686661,43.582569,6.632336,-50.622669,299000000.000000,24375000.000000,41.377327,44.705421,6.580952,-50.231758,299000000.000000,24375000.000000,43.223766,44.314072,6.887669,-54.468895,299000000.000000,24375000.000000,1,0.995078,37.242771,-20.040285,-2.966206,1.000145,0.000145,-0.073633,-56.640992
baseline,baseline,0,1,23,33,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999887,9.018750,-3.210642,9.022114,392.308032,409.291068,1,41.272785,43.554760,6.563586,-50.180119,299000000.000000,24375000.000000,41.245190,43.966133,6.559002,-51.107414,299000000.000000,24375000.000000,43.043449,43.865688,6.857716,-53.525269,299000000.000000,24375000.000000,1,0.996107,39.612579,-20.102592,-5.811471,1.043072,0.043072,-0.073633,-56.640992
baseline,baseline,0,1,24,34,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998245,5.222500,-1.202842,5.214024,377.806315,378.049023,1,41.901688,44.525238,6.668055,-50.267033,299000000.000000,19500000.000000,41.464191,43.711411,6.595381,-49.901768,299000000.000000,19500000.000000,43.353340,44.211544,6.909193,-52.877674,299000000.000000,19500000.000000,1,0.995094,37.648506,-20.032784,-4.011182,1.000552,0.000552,-0.073633,-56.640992
baseline,baseline,0,1,25,35,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998937,4.562500,-0.013951,4.578867,375.533440,387.594283,1,40.620071,43.305660,6.455162,-48.939137,299000000.000000,19500000.000000,41.808125,44.292538,6.652513,-51.132549,299000000.000000,19500000.000000,42.899208,43.924419,6.833756,-52.296230,299000000.000000,19500000.000000,1,0.996628,33.870125,-21.035780,-4.564916,1.032045,0.032045,-0.073633,-56.640992
baseline,baseline,0,1,26,36,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998548,8.642500,-4.457998,8.638975,377.850854,382.614828,1,41.433544,44.599667,6.590290,-51.095455,299000000.000000,22750000.000000,41.252594,43.487259,6.560232,-51.812920,299000000.000000,22750000.000000,42.657501,44.156555,6.793605,-54.646122,299000000.000000,22750000.000000,1,0.996168,33.870358,-21.003347,-4.180977,1.012420,0.012420,-0.073633,-56.640992
baseline,baseline,0,1,27,37,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998836,6.597500,-4.305589,6.597775,382.666774,384.722599,1,40.478889,45.099171,6.431709,-49.610729,299000000.000000,32500000.000000,41.443993,44.272148,6.592026,-49.498203,299000000.000000,21125000.000000,42.653599,44.195507,6.792957,-53.024929,299000000.000000,21125000.000000,1,0.995622,36.030582,-20.545406,-2.292185,1.005288,0.005288,-0.073633,-56.640992
baseline,baseline,0,1,28,38,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999388,15.292500,-10.953605,15.295639,386.469510,394.011690,1,41.899475,45.658318,6.667687,-49.947243,299000000.000000,27625000.000000,42.322533,44.526127,6.737963,-51.258492,299000000.000000,22750000.000000,43.754951,45.046005,6.975906,-52.405464,299000000.000000,22750000.000000,1,0.996462,33.908703,-21.215782,-4.342033,1.019157,0.019157,-0.073633,-56.640992
baseline,baseline,0,1,29,39,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998393,0.352500,4.456689,0.358527,368.026122,383.955394,1,41.200508,44.641346,6.551580,-50.799240,299000000.000000,19500000.000000,42.356266,45.142906,6.743566,-52.079834,299000000.000000,19500000.000000,43.352402,45.129940,6.909037,-54.896446,299000000.000000,19500000.000000,1,0.996139,36.999733,-20.141212,-4.815217,1.043359,0.043359,-0.073633,-56.640992
baseline,baseline,0,1,30,40,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999848,15.890000,-9.576503,15.888973,388.503243,405.453874,1,41.978287,44.394096,6.680779,-51.753590,299000000.000000,24375000.000000,42.170506,44.413197,6.712709,-53.208275,299000000.000000,24375000.000000,43.713333,44.526203,6.968993,-55.196800,299000000.000000,24375000.000000,1,0.996153,39.133701,-20.121559,-6.312470,1.043146,0.043146,-0.073633,-56.640992
