stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,2,2,29,469,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.012406,0.012406,0.999888,7.726730,0.400666,1,FIT_QUALITY,41.948853,6.675889,
gain,calibration,2,2,30,470,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.001728,0.001728,0.999788,9.198821,0.265959,1,FIT_QUALITY,41.690681,6.633004,
gain,calibration,3,3,1,471,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.940656,-0.059344,0.998053,24.421043,0.420507,1,FIT_QUALITY,42.190132,6.715969,
gain,calibration,3,3,2,472,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.994939,-0.005061,0.999839,8.076660,0.498093,1,FIT_QUALITY,41.830685,6.656260,
gain,calibration,3,3,3,473,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.000185,0.000185,0.999825,8.904447,0.611529,1,FIT_QUALITY,42.019253,6.687584,
gain,calibration,3,3,4,474,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.007074,0.007074,0.999884,6.276158,0.537652,1,FIT_QUALITY,42.210899,6.719419,
gain,calibration,3,3,5,475,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,1.006848,0.006848,0.999855,9.186644,0.523449,1,FIT_QUALITY,41.642651,6.625025,
gain,calibration,3,3,6,476,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.992560,-0.007440,0.999655,11.472432,0.480679,1,FIT_QUALITY,41.240459,6.558216,
gain,calibration,3,3,7,477,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.996903,-0.003097,0.999800,8.481752,0.624331,1,FIT_QUALITY,41.089424,6.533127,
gain,calibration,3,3,8,478,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.005703,nan,1.000000,0.961659,-0.038341,0.998849,18.908899,0.402145,1,FIT_QUALITY,41.492992,6.600165,
