sample_index,adc_code,ifc_vpp,sweep_index
1070,59,2.04,1
1071,-139,2.04,1
1072,92,2.04,1
1073,-132,2.04,1
1074,258,2.04,1
1075,-28,2.04,1
1076,223,2.04,1
1077,-99,2.04,1
1078,188,2.04,1
1079,-121,2.04,1
1080,120,2.04,1
1081,-46,2.04,1
1082,86,2.04,1
1083,-231,2.04,1
1084,150,2.04,1
1085,-142,2.04,1
1086,64,2.04,1
1087,22,2.04,1
1088,936,2.04,1
1089,-54,2.04,1
1090,235,2.04,1
1091,-29,2.04,1
1092,126,2.04,1
1093,-167,2.04,1
1094,126,2.04,1
1095,-929,2.04,1
1096,170,2.04,1
1097,-178,2.04,1
1098,113,2.04,1
1099,-244,2.04,1
1100,136,2.04,1
1101,-35,2.04,1
1102,239,2.04,1
1103,-23,2.04,1
1104,766,2.04,1
1105,-104,2.04,1
1106,37,2.04,1
1107,-189,2.04,1
1108,144,2.04,1
1109,-243,2.04,1
1110,187,2.04,1
1111,4,2.04,1
1112,254,2.04,1
1113,-68,2.04,1
1114,199,2.04,1
1115,-116,2.04,1
1116,146,2.04,1
1117,-68,2.04,1
1118,213,2.04,1
1119,-134,2.04,1
1120,60,2.04,1
1121,-209,2.04,1
1122,41,2.04,1
1123,-67,2.04,1
1124,192,2.04,1
1125,-70,2.04,1
1126,251,2.04,1
1127,20,2.04,1
1128,155,2.04,1
1129,-70,2.04,1
1130,116,2.04,1
1131,11,2.04,1
1132,92,2.04,1
1133,-184,2.04,1
1134,131,2.04,1
1135,-9,2.04,1
1136,251,2.04,1
1137,-124,2.04,1
1138,129,2.04,1
1139,-57,2.04,1
1140,188,2.04,1
1141,-52,2.04,1
1142,209,2.04,1
1143,-55,2.04,1
1144,44,2.04,1
1145,83,2.04,1
1146,32,2.04,1
1147,-145,2.04,1
1148,183,2.04,1
1149,-124,2.04,1
1150,235,2.04,1
1151,-8,2.04,1
1152,184,2.04,1
1153,-5,2.04,1
1154,64,2.04,1
1155,-19,2.04,1
1156,225,2.04,1
1157,-46,2.04,1
1158,99,2.04,1
1159,-87,2.04,1
1160,207,2.04,1
1161,-744,2.04,1
1162,80,2.04,1
1163,-157,2.04,1
1164,257,2.04,1
1165,-108,2.04,1
1166,215,2.04,1
1167,-113,2.04,1
1168,172,2.04,1
1169,-96,2.04,1
1170,123,2.04,1
1171,-49,2.04,1
1172,114,2.04,1
1173,-187,2.04,1
1174,171,2.04,1
1175,29,2.04,1
1176,222,2.04,1
1177,-76,2.04,1
1178,116,2.04,1
1179,77,2.04,1
1180,250,2.04,1
1181,-68,2.04,1
1182,117,2.04,1
1183,-24,2.04,1
1184,0,2.04,1
1185,-153,2.04,1
1186,61,2.04,1
1187,-138,2.04,1
1188,184,2.04,1
1189,-124,2.04,1
1190,139,2.04,1
1191,26,2.04,1
1192,28,2.04,1
1193,16,2.04,1
1194,217,2.04,1
1195,-15,2.04,1
1196,125,2.04,1
1197,-94,2.04,1
1198,75,2.04,1
1199,-158,2.04,1
1200,68,2.04,1
1201,-127,2.04,1
1202,137,2.04,1
1203,-119,2.04,1
1204,250,2.04,1
1205,-46,2.04,1
1206,67,2.04,1
1207,-166,2.04,1
1208,164,2.04,1
1209,44,2.04,1
1210,41,2.04,1
1211,-130,2.04,1
1212,66,2.04,1
1213,-155,2.04,1
1214,197,2.04,1
1215,-120,2.04,1
1216,192,2.04,1
1217,-82,2.04,1
1218,115,2.04,1
1219,-13,2.04,1
1220,241,2.04,1
1221,33,2.04,1
1222,182,2.04,1
1223,-87,2.04,1
1224,100,2.04,1
1225,-106,2.04,1
1226,109,2.04,1
1227,-23,2.04,1
1228,143,2.04,1
1229,-117,2.04,1
1230,112,2.04,1
1231,-85,2.04,1
1232,227,2.04,1
1233,2,2.04,1
1234,224,2.04,1
1235,-141,2.04,1
1236,194,2.04,1
1237,-54,2.04,1
1238,-21,2.04,1
1239,-133,2.04,1
1240,139,2.04,1
1241,-76,2.04,1
1242,125,2.04,1
1243,-89,2.04,1
1244,250,2.04,1
1245,76,2.04,1
1246,152,2.04,1
1247,-79,2.04,1
1248,51,2.04,1
1249,-117,2.04,1
1250,180,2.04,1
1251,-64,2.04,1
1252,60,2.04,1
1253,-63,2.04,1
1254,182,2.04,1
1255,-116,2.04,1
1256,195,2.04,1
1257,-48,2.04,1
1258,261,2.04,1
1259,-70,2.04,1
1260,105,2.04,1
1261,-126,2.04,1
1262,101,2.04,1
1263,-125,2.04,1
