stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes
offset,calibration,4,4,23,153,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-11.254701,-11.220652,0.999278,14.774209,-2.637290,1.000000
offset,calibration,4,4,24,154,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-3.693450,-3.662742,0.998980,17.473181,-2.637290,1.000000
offset,calibration,4,4,25,155,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-0.687200,-0.668186,0.998958,17.350136,-2.637290,1.000000
offset,calibration,4,4,26,156,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-1.197200,-1.160276,0.999072,16.825085,-2.637290,1.000000
offset,calibration,4,4,27,157,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-1.280950,-1.246021,0.999086,16.647985,-2.637290,1.000000
offset,calibration,4,4,28,158,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,5.410300,5.427779,0.999088,16.186300,-2.637290,1.000000
offset,calibration,4,4,29,159,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,3.175300,3.188400,0.998860,17.977621,-2.637290,1.000000
offset,calibration,4,4,30,160,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-5.823451,-5.814458,0.998873,17.756628,-2.637290,1.000000
offset,calibration,5,5,1,161,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,0.972800,1.011983,0.999319,14.466962,-2.075054,1.000000
offset,calibration,5,5,2,162,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-2.592200,-2.564029,0.999212,15.301207,-2.075054,1.000000
offset,calibration,5,5,3,163,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,0.520300,0.520840,0.998833,17.832409,-2.075054,1.000000
offset,calibration,5,5,4,164,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-3.733450,-3.697996,0.999245,15.145711,-2.075054,1.000000
offset,calibration,5,5,5,165,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,4.754050,4.792231,0.998728,19.743343,-2.075054,1.000000
offset,calibration,5,5,6,166,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,3.039050,3.057310,0.999389,13.259080,-2.075054,1.000000
offset,calibration,5,5,7,167,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-6.573451,-6.537643,0.998621,20.483765,-2.075054,1.000000
offset,calibration,5,5,8,168,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,3.202800,3.229764,0.998951,17.617933,-2.075054,1.000000
offset,calibration,5,5,9,169,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,1.092800,1.135265,0.999063,17.047491,-2.075054,1.000000
offset,calibration,5,5,10,170,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-3.037200,-2.991906,0.999274,15.070437,-2.075054,1.000000
offset,calibration,5,5,11,171,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,6.639050,6.676469,0.999210,15.533599,-2.075054,1.000000
offset,calibration,5,5,12,172,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-9.495951,-9.468564,0.999152,15.854665,-2.075054,1.000000
offset,calibration,5,5,13,173,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-0.985950,-0.955649,0.999147,15.970167,-2.075054,1.000000
offset,calibration,5,5,14,174,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,5.277800,5.318649,0.999110,16.576002,-2.075054,1.000000
offset,calibration,5,5,15,175,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,1.555300,1.585379,0.999260,14.868039,-2.075054,1.000000
offset,calibration,5,5,16,176,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-0.364700,-0.332369,0.999031,17.072535,-2.075054,1.000000
offset,calibration,5,5,17,177,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-0.008450,0.030167,0.999075,16.847651,-2.075054,1.000000
offset,calibration,5,5,18,178,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-5.618450,-5.598742,0.998946,17.465189,-2.075054,1.000000
offset,calibration,5,5,19,179,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,0.514050,0.532111,0.999054,16.503607,-2.075054,1.000000
offset,calibration,5,5,20,180,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-1.140950,-1.128681,0.999006,16.760801,-2.075054,1.000000
offset,calibration,5,5,21,181,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,-9.569700,-9.542424,0.998978,17.401682,-2.075054,1.000000
offset,calibration,5,5,22,182,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.694767,1.000000,nan,1.000000,0.666550,0.698889,0.998963,17.668623,-2.075054,1.000000
