stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,actuator_characterization_baseline,0,4,3,653,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.936693,-1,-3.141593,-0.204899,-0.211970,-163.053679,199999934.179871,199999934.179871,564.674532,537.737380,0.999645,0.999615,10.646894,10.553528,1,1,0,nan,nan,nan,nan,31.481205,4.937077,31.133151,4.879261,edge estimates disagree,-47.413923,-255.212105,207.798182,
skew,actuator_characterization_baseline,0,4,4,654,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.979732,-1,-3.141593,-0.161861,-0.167446,-128.804762,199999934.179871,199999934.179871,564.694319,542.925455,0.999631,0.999594,10.855286,10.948124,1,1,0,nan,nan,nan,nan,31.313143,4.909160,30.897710,4.840151,edge estimates disagree,-290.346124,-8.866150,281.479974,
skew,actuator_characterization_baseline,0,4,5,655,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.926524,-1,-3.141593,-0.215069,-0.222490,-171.146497,199999934.179871,199999934.179871,564.337474,536.504566,0.999665,0.999627,10.322883,10.358380,1,1,0,nan,nan,nan,nan,31.744458,4.980807,31.275332,4.902879,edge estimates disagree,63.690218,-279.279718,342.969936,
skew,actuator_characterization_baseline,0,4,6,656,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.972964,-1,-3.141593,-0.168628,-0.174447,-134.190108,199999934.179871,199999934.179871,564.893953,542.306650,0.999670,0.999633,10.271785,10.396959,1,1,0,nan,nan,nan,nan,31.796121,4.989389,31.336472,4.913035,edge estimates disagree,-166.560228,-143.329202,23.231026,
skew,actuator_characterization_baseline,0,4,7,657,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.926322,-1,-3.141593,-0.215271,-0.222699,-171.307292,199999934.179871,199999934.179871,564.487586,536.669480,0.999644,0.999622,10.660249,10.435925,1,1,0,nan,nan,nan,nan,31.467441,4.934791,31.213219,4.892561,skew outside supported linear range,31.871399,-456.730715,488.602113,
skew,actuator_characterization_baseline,0,4,8,658,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.952155,-1,-3.141593,-0.189438,-0.195975,-150.749633,199999934.179871,199999934.179871,565.169719,539.963819,0.999624,0.999586,10.961943,10.990187,1,1,0,nan,nan,nan,nan,31.235527,4.896267,30.816891,4.826726,edge estimates disagree,-80.971443,40.452145,121.423588,
skew,actuator_characterization_baseline,0,4,9,659,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.976901,-1,-3.141593,-0.164691,-0.170374,-131.057132,199999934.179871,199999934.179871,564.620145,542.530768,0.999634,0.999605,10.805231,10.792123,1,1,0,nan,nan,nan,nan,31.352146,4.915639,31.016050,4.859809,edge estimates disagree,48.281628,-318.869070,367.150698,
skew,actuator_characterization_baseline,0,4,10,660,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.983065,-1,-3.141593,-0.158528,-0.163998,-126.152595,199999934.179871,199999934.179871,564.450725,543.298477,0.999618,0.999616,11.042042,10.657127,1,1,0,nan,nan,nan,nan,31.161233,4.883926,31.137667,4.880011,edge estimates disagree,-115.192421,-229.824670,114.632249,
skew,actuator_characterization_repeat,0,5,1,661,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.989157,-1,-3.141593,-0.152435,-0.157695,-121.304117,199999934.179871,199999934.179871,565.354406,543.513463,0.999635,0.999600,10.799008,10.876020,1,1,0,nan,nan,nan,nan,31.368439,4.918345,30.964506,4.851247,edge estimates disagree,-181.089418,-51.111064,129.978355,
skew,actuator_characterization_repeat,0,5,2,662,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.941834,-1,-3.141593,-0.199759,-0.206652,-158.962923,199999934.179871,199999934.179871,563.792434,536.893973,0.999676,0.999639,10.154528,10.197463,1,1,0,nan,nan,nan,nan,31.878890,5.003138,31.417628,4.926516,skew outside supported linear range,-351.304591,-249.298036,102.006555,
skew,actuator_characterization_repeat,0,5,3,663,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.997293,-1,-3.141593,-0.144300,-0.149280,-114.830450,199999934.179871,199999934.179871,564.855593,544.606451,0.999674,0.999641,10.192722,10.319539,1,1,0,nan,nan,nan,nan,31.862645,5.000439,31.438150,4.929925,edge estimates disagree,-88.251265,13.069587,101.320852,
skew,actuator_characterization_repeat,0,5,4,664,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.980925,-1,-3.141593,-0.160667,-0.166212,-127.855142,199999934.179871,199999934.179871,565.247209,542.219652,0.999656,0.999623,10.480209,10.526833,1,1,0,nan,nan,nan,nan,31.627070,4.961307,31.227251,4.894892,skew outside supported linear range,-279.240663,-262.324043,16.916620,
skew,actuator_characterization_repeat,0,5,5,665,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.952371,-1,-3.141593,-0.189222,-0.195752,-150.578195,199999934.179871,199999934.179871,564.481963,538.498565,0.999633,0.999609,10.822122,10.645782,1,1,0,nan,nan,nan,nan,31.336453,4.913032,31.069840,4.868744,skew outside supported linear range,-62.364520,-424.828385,362.463865,
skew,actuator_characterization_repeat,0,5,6,666,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.984305,-1,-3.141593,-0.157288,-0.162715,-125.165533,199999934.179871,199999934.179871,565.087655,542.963302,0.999658,0.999629,10.462223,10.462938,1,1,0,nan,nan,nan,nan,31.639537,4.963378,31.292036,4.905654,skew outside supported linear range,-277.155197,-284.374706,7.219509,
skew,actuator_characterization_repeat,0,5,7,667,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.941876,-1,-3.141593,-0.199716,-0.206608,-158.929203,199999934.179871,199999934.179871,563.739731,537.044591,0.999642,0.999616,10.674897,10.533837,1,1,0,nan,nan,nan,nan,31.443999,4.930897,31.138175,4.880095,skew outside supported linear range,-336.645546,-226.790480,109.855065,
skew,actuator_characterization_repeat,0,5,8,668,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.982699,-1,-3.141593,-0.158894,-0.164377,-126.443921,199999934.179871,199999934.179871,565.042725,542.800572,0.999625,0.999618,10.939069,10.608905,1,1,0,nan,nan,nan,nan,31.251718,4.898957,31.169094,4.885232,edge estimates disagree,74.324720,-191.369955,265.694675,
skew,actuator_characterization_repeat,0,5,9,669,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.961873,-1,-3.141593,-0.179719,-0.185921,-143.016177,199999934.179871,199999934.179871,564.789773,539.870430,0.999613,0.999600,11.110418,10.795864,1,1,0,nan,nan,nan,nan,31.112829,4.875885,30.970342,4.852216,skew outside supported linear range,-230.927706,-431.336723,200.409017,
skew,actuator_characterization_repeat,0,5,10,670,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.947395,-1,-3.141593,-0.194198,-0.200899,-154.537727,199999934.179871,199999934.179871,564.168246,537.961450,0.999630,0.999613,10.861180,10.587326,1,1,0,nan,nan,nan,nan,31.300333,4.907032,31.108997,4.875249,skew outside supported linear range,-103.129727,-446.250685,343.120958,
skew,actuator_characterization_baseline,0,6,1,671,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.958706,-1,-3.141593,-0.182886,-0.189197,-145.536332,199999934.179871,199999934.179871,565.192121,540.686553,0.999660,0.999632,10.418607,10.369401,1,1,0,nan,nan,nan,nan,31.677429,4.969673,31.333538,4.912548,edge estimates disagree,-129.429223,-203.965758,74.536536,
skew,actuator_characterization_baseline,0,6,2,672,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.924150,-1,-3.141593,-0.217443,-0.224946,-173.035693,199999934.179871,199999934.179871,564.475760,536.166376,0.999618,0.999570,11.042092,11.124716,1,1,0,nan,nan,nan,nan,31.161579,4.883983,30.649913,4.798989,skew outside supported linear range,-30.676907,-609.068508,578.391601,
skew,actuator_characterization_baseline,0,6,3,673,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.927815,-1,-3.141593,-0.213778,-0.221155,-170.119276,199999934.179871,199999934.179871,564.520632,536.910231,0.999591,0.999550,11.430397,11.399980,1,1,0,nan,nan,nan,nan,30.862070,4.834231,30.449652,4.765723,skew outside supported linear range,-334.069344,-291.096273,42.973072,
