stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,4,4,26,156,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,14.613082,14.612719,0.998657,19.853889,5.917941,1.000000,33.275364,5.235110,
offset,calibration,4,4,27,157,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-6.029418,-6.028964,0.998611,20.250793,5.917941,1.000000,33.423710,5.259752,
offset,calibration,4,4,28,158,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,1.393082,1.384979,0.998585,19.831882,5.917941,1.000000,33.064022,5.200004,
offset,calibration,4,4,29,159,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,4.956832,4.947639,0.998641,19.360147,5.917941,1.000000,33.515373,5.274979,
offset,calibration,4,4,30,160,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-0.685668,-0.693504,0.998680,19.172031,5.917941,1.000000,32.522068,5.109978,
offset,calibration,5,5,1,161,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,-1.434418,-1.440123,0.998881,17.781563,5.234015,1.000000,32.972702,5.184834,
offset,calibration,5,5,2,162,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,-1.170668,-1.179333,0.998637,19.426863,5.234015,1.000000,33.067097,5.200514,
offset,calibration,5,5,3,163,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,4.595582,4.585727,0.998370,21.153595,5.234015,1.000000,32.999920,5.189355,
offset,calibration,5,5,4,164,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,5.880582,5.880451,0.998232,22.812433,5.234015,1.000000,33.331593,5.244451,
offset,calibration,5,5,5,165,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,5.314332,5.313877,0.998594,20.315395,5.234015,1.000000,33.553066,5.281240,
offset,calibration,5,5,6,166,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,6.511832,6.511295,0.998499,20.979950,5.234015,1.000000,33.524986,5.276576,
offset,calibration,5,5,7,167,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-6.000000,1.000000,nan,1.000000,5.515583,5.516330,0.998680,19.758862,5.234015,1.000000,33.554165,5.281423,
